        identifier        | nikaya | book_number | vagga |              title               |     left     
--------------------------+--------+-------------+-------+----------------------------------+--------------
 an04.001.than.html       | AN     | 1           | 4     | Anubuddha Sutta                  | I have heard
 an09.001.than.html       | AN     | 1           | 9     | Sambodhi Sutta                   | I have heard
 an11.001.than.html       | AN     | 1           | 11    | Kimattha Sutta                   | I have heard
 an11.010.than.html       | AN     | 10          | 11    | Sandha Sutta                     | On one occas
 an04.010.niza.html       | AN     | 10          | 4     | Yoga Sutta                       | “Monks, ther
 an04.010.than.html       | AN     | 10          | 4     | Yoga Sutta                       | "Monks, ther
 an03.100.01-10.than.html | AN     | 100 (i-x)   | 3     | Pansadhovaka Sutta               | "There are t
 an03.100.11-15.than.html | AN     | 100 (xi-xv) | 3     | Nimitta Sutta                    | "A monk inte
 an06.102.than.html       | AN     | 102         | 6     | Anodhi Sutta                     | "In seeing s
 an04.102.than.html       | AN     | 102         | 4     | Valahaka Sutta                   | "There are t
 an10.103.than.html       | AN     | 103         | 10    | Micchatta Sutta                  | "From wrongn
 an06.103.than.html       | AN     | 103         | 6     | Anodhi Sutta                     | "In seeing s
 an06.104.than.html       | AN     | 104         | 6     | Anodhi Sutta                     | "In seeing s
 an10.104.than.html       | AN     | 104         | 10    | Bija Sutta                       | "When a pers
 an03.105.than.html       | AN     | 105         | 3     | Kuta Sutta                       | Then Anathap
 an10.108.than.html       | AN     | 108         | 10    | Virecana (Tikicchaka) Sutta      | "Monks, doct
 an07.011.than.html       | AN     | 11          | 7     | Anusaya Sutta                    | "Monks, ther
 an04.111.than.html       | AN     | 111         | 4     | Kesi Sutta                       | Then Kesi th
 an04.113.wood.html       | AN     | 113         | 4     | Patoda Sutta                     | "Monks, thes
 an04.113.than.html       | AN     | 113         | 4     | Patoda Sutta                     | "There are t
 an05.114.than.html       | AN     | 114         | 5     | Andhakavinda Sutta               | On one occas
 an04.115.than.html       | AN     | 115         | 4     | Thana Sutta                      | "Monks, ther
 an10.118.niza.html       | AN     | 118         | 10    | Orimatīra Sutta                  | "Monks, I sh
 an02.119.than.html       | AN     | 119         | 2     | Dullabha Sutta                   | "Monks, thes
 an11.012.than.html       | AN     | 12          | 11    | Mahanama Sutta                   | I have heard
 an07.012.than.html       | AN     | 12          | 7     | Anusaya Sutta                    | "Monks, with
 an06.012.than.html       | AN     | 12          | 6     | Saraniya Sutta                   | "Monks, thes
 an03.120.than.html       | AN     | 120         | 3     | Moneyya Sutta                    | Monks, there
 an05.121.than.html       | AN     | 121         | 5     | Gilana Sutta                     | I have heard
 an03.123.than.html       | AN     | 123         | 3     | Gotamaka-cetiya Sutta            | On one occas
 an04.123.than.html       | AN     | 123         | 4     | Jhana Sutta                      | "Monks, ther
 an04.124.than.html       | AN     | 124         | 4     | Jhana Sutta                      | "Monks, ther
 an04.125.than.html       | AN     | 125         | 4     | Metta Sutta                      | "Monks, ther
 an04.125.nymo.html       | AN     | 125         | 4     | Metta Sutta                      | ... "Here, b
 an02.125-126.than.html   | AN     | 125-126     | 2     | Ghosa Suttas                     | "Monks, ther
 an03.126.than.html       | AN     | 126         | 3     | Katuviya Sutta                   | I have heard
 an04.126.than.html       | AN     | 126         | 4     | Metta Sutta                      | "Monks, ther
 an04.126.nymo.html       | AN     | 126         | 4     | Metta Sutta                      | ... Here, bh
 an05.129.than.html       | AN     | 129         | 5     | Parikuppa Sutta                  | "There are t
 an11.013.than.html       | AN     | 13          | 11    | Mahanama Sutta                   | I have heard
 an08.013.than.html       | AN     | 13          | 8     | Ajañña Sutta                     | "Endowed wit
 an10.013.than.html       | AN     | 13          | 10    | Sanyojana Sutta                  | "There are t
 an09.013.than.html       | AN     | 13          | 9     | Kotthita Sutta                   | Then Ven. Ma
 an06.013.than.html       | AN     | 13          | 6     | Nissaraniya Sutta                | "Monks, thes
 an05.130.than.html       | AN     | 130         | 5     | Sampada Sutta                    | "Monks, ther
 an03.130.than.html       | AN     | 130         | 3     | Lekha Sutta                      | "Monks, ther
 an03.134.than.html       | AN     | 134         | 3     | Dhamma-niyama Sutta              | "Monks, whet
 an05.139.than.html       | AN     | 139         | 5     | Akkhama Sutta                    | "Endowed wit
 an08.014.than.html       | AN     | 14          | 8     | Khalunga Sutta                   | "Monks, I wi
 an09.014.than.html       | AN     | 14          | 9     | Samiddhi Sutta                   | Then Ven. Sa
 an05.140.than.html       | AN     | 140         | 5     | Sotar Sutta                      | "Endowed wit
 an04.144.than.html       | AN     | 144         | 4     | Obhasa Sutta                     | "There are t
 an05.148.than.html       | AN     | 148         | 5     | Sappurisadana Sutta              | "These five 
 an10.015.than.html       | AN     | 15          | 10    | Appamada Sutta                   | "To the exte
 an03.015.than.html       | AN     | 15          | 3     | Rathakara (Pacetana) Sutta       | On one occas
 an07.015.than.html       | AN     | 15          | 7     | Udakupama Sutta                  | "Monks, seve
 an09.015.than.html       | AN     | 15          | 9     | Ganda Sutta                      | "Monks, it's
 an04.159.than.html       | AN     | 159         | 4     | Bhikkhuni Sutta                  | I have heard
 an05.159.than.html       | AN     | 159         | 5     | Udayi Sutta                      | I have heard
 an06.016.than.html       | AN     | 16          | 6     | Nakula Sutta                     | Once the Ble
 an11.016.piya.html       | AN     | 16          | 11    | Metta (Mettanisamsa) Sutta       | Thus have I 
 an09.016.than.html       | AN     | 16          | 9     | Sañña Sutta                      | "Monks, thes
 an11.016.than.html       | AN     | 16          | 11    | Metta (Mettanisamsa) Sutta       | "Monks, for 
 an05.161.than.html       | AN     | 161         | 5     | Aghatavinaya Sutta               | "There are t
 an05.161.nymo.html       | AN     | 161         | 5     | Aghatavinaya Sutta               | "Bhikkhus, t
 an05.162.than.html       | AN     | 162         | 5     | Aghatavinaya Sutta               | Then Ven. Sa
 an04.162.than.html       | AN     | 162         | 4     | Vitthara Sutta                   | "Monks, ther
